mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.032,0.029,0.0,0.085,0.0,0.0,4675.0,2812.0,1.0
0.031,0.029,0.0,0.085,0.0,0.0,5626.0,2663.0,1.0
0.031,0.03,0.0,0.085,0.0,0.0,4631.0,2458.0,1.0
0.032,0.03,0.0,0.087,0.0,0.0,4587.0,2685.0,1.0
0.029,0.029,0.0,0.08,0.0,0.0,4845.0,2634.0,1.0
0.031,0.03,0.0,0.084,0.0,0.0,5054.0,2500.0,1.0
0.03,0.029,0.0,0.082,0.0,0.0,4610.0,2545.0,1.0
0.029,0.03,0.0,0.08,0.001,0.0,2479.0,1959.0,1.0
0.033,0.031,0.0,0.089,0.0,0.0,4024.0,2718.0,1.0
0.028,0.03,0.0,0.082,0.001,0.0,2626.0,2810.0,1.0
0.03,0.029,0.0,0.082,0.0,0.0,5393.0,2384.0,1.0
0.029,0.03,0.0,0.083,0.001,0.0,2798.0,2315.0,1.0
0.03,0.029,0.0,0.083,0.0,0.0,5122.0,2485.0,1.0
0.032,0.03,0.0,0.088,0.0,0.0,4747.0,2174.0,1.0
0.031,0.028,0.0,0.081,0.0,0.0,4016.0,2299.0,1.0
0.032,0.029,0.0,0.084,0.0,0.0,4584.0,2529.0,1.0
0.033,0.031,0.0,0.088,0.0,0.0,3944.0,3010.0,1.0
0.034,0.032,0.0,0.091,0.0,0.0,3723.0,2595.0,1.0
0.03,0.029,0.0,0.082,0.0,0.0,4507.0,2639.0,1.0
0.033,0.031,0.0,0.09,0.0,0.0,3707.0,3112.0,1.0
0.09,0.107,-0.102,0.306,0.002,0.001,4519.0,3284.0,1.0
0.038,0.108,-0.17,0.234,0.002,0.001,3857.0,3505.0,1.0
0.282,0.105,0.091,0.478,0.002,0.001,4142.0,3946.0,1.0
0.155,0.105,-0.032,0.355,0.002,0.001,4519.0,3718.0,1.0
-0.246,0.122,-0.461,-0.008,0.002,0.001,3780.0,3926.0,1.0
-0.105,0.115,-0.314,0.123,0.002,0.001,4518.0,3842.0,1.0
0.124,0.102,-0.069,0.318,0.002,0.001,3247.0,3878.0,1.0
-0.248,0.12,-0.472,-0.023,0.002,0.001,3691.0,3809.0,1.0
-0.006,0.112,-0.206,0.213,0.002,0.001,4339.0,3970.0,1.0
-0.105,0.108,-0.3,0.103,0.002,0.001,4536.0,3874.0,1.0
0.261,0.112,0.042,0.463,0.002,0.001,4491.0,3973.0,1.0
0.118,0.104,-0.083,0.304,0.002,0.001,4160.0,3758.0,1.0
0.019,0.109,-0.179,0.223,0.002,0.001,4227.0,3371.0,1.0
-0.034,0.111,-0.237,0.192,0.002,0.001,4086.0,3918.0,1.0
0.001,0.108,-0.21,0.192,0.002,0.001,4665.0,3929.0,1.0
0.077,0.111,-0.135,0.281,0.002,0.001,3867.0,3822.0,1.0
-0.091,0.115,-0.302,0.129,0.002,0.001,4025.0,3777.0,1.0
-0.01,0.112,-0.207,0.208,0.002,0.001,4577.0,3974.0,1.0
-0.098,0.112,-0.305,0.115,0.002,0.001,4196.0,3753.0,1.0
-0.293,0.133,-0.546,-0.052,0.002,0.001,4211.0,3627.0,1.0
0.155,0.112,-0.05,0.365,0.002,0.001,4182.0,3989.0,1.0
-0.309,0.122,-0.549,-0.092,0.002,0.002,3321.0,3476.0,1.0
-0.009,0.107,-0.205,0.197,0.002,0.001,4052.0,3562.0,1.0
-0.252,0.124,-0.48,-0.022,0.002,0.001,4265.0,3537.0,1.0
-0.094,0.113,-0.318,0.108,0.002,0.001,4087.0,3613.0,1.0
0.046,0.108,-0.161,0.242,0.002,0.001,4496.0,3607.0,1.0
0.067,0.111,-0.133,0.277,0.002,0.001,4498.0,3390.0,1.0
0.07,0.108,-0.138,0.271,0.002,0.001,4411.0,3637.0,1.0
0.122,0.111,-0.093,0.321,0.002,0.001,4161.0,3515.0,1.0
0.237,0.109,0.031,0.438,0.002,0.001,4094.0,3890.0,1.0
-0.14,0.12,-0.369,0.079,0.002,0.001,3592.0,3693.0,1.0
0.18,0.106,-0.009,0.391,0.002,0.001,4643.0,3874.0,1.0
0.099,0.574,-0.986,1.156,0.008,0.009,5479.0,3272.0,1.0
0.047,0.576,-1.009,1.174,0.008,0.009,5659.0,3580.0,1.0
0.291,0.574,-0.8,1.358,0.008,0.008,5347.0,3223.0,1.0
0.164,0.573,-0.893,1.258,0.008,0.008,5534.0,3244.0,1.0
-0.237,0.58,-1.355,0.854,0.008,0.008,5376.0,3306.0,1.0
-0.096,0.578,-1.184,0.995,0.008,0.008,5389.0,3165.0,1.0
0.133,0.574,-0.934,1.215,0.008,0.008,5432.0,3328.0,1.0
-0.239,0.575,-1.269,0.91,0.008,0.008,5391.0,3387.0,1.0
0.003,0.575,-1.052,1.132,0.008,0.009,5455.0,3235.0,1.0
-0.096,0.575,-1.143,1.016,0.008,0.009,5709.0,3217.0,1.0
0.27,0.575,-0.829,1.33,0.008,0.008,5534.0,3362.0,1.0
0.127,0.573,-0.891,1.291,0.008,0.009,5392.0,3367.0,1.0
0.028,0.573,-1.087,1.088,0.008,0.009,5579.0,3453.0,1.0
-0.025,0.576,-1.05,1.113,0.008,0.009,5466.0,3366.0,1.0
